"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"0400000US12","Florida","67917","259",
"1400000US12086000107","Census Tract 1.07; Miami-Dade County; Florida","54811","15609",
"1400000US12086000109","Census Tract 1.09; Miami-Dade County; Florida","55179","6277",
"1400000US12086000115","Census Tract 1.15; Miami-Dade County; Florida","97847","15032",
"1400000US12086000118","Census Tract 1.18; Miami-Dade County; Florida","98824","33335",
"1400000US12086000120","Census Tract 1.20; Miami-Dade County; Florida","73939","12678",
"1400000US12086000121","Census Tract 1.21; Miami-Dade County; Florida","87500","29444",
"1400000US12086000122","Census Tract 1.22; Miami-Dade County; Florida","92524","37968",
"1400000US12086000123","Census Tract 1.23; Miami-Dade County; Florida","56500","28426",
"1400000US12086000124","Census Tract 1.24; Miami-Dade County; Florida","42105","9899",
"1400000US12086000125","Census Tract 1.25; Miami-Dade County; Florida","50440","13937",
"1400000US12086000126","Census Tract 1.26; Miami-Dade County; Florida","32600","13714",
"1400000US12086000127","Census Tract 1.27; Miami-Dade County; Florida","46933","12646",
"1400000US12086000128","Census Tract 1.28; Miami-Dade County; Florida","78427","20256",
"1400000US12086000129","Census Tract 1.29; Miami-Dade County; Florida","106950","38185",
"1400000US12086000130","Census Tract 1.30; Miami-Dade County; Florida","88350","25028",
"1400000US12086000131","Census Tract 1.31; Miami-Dade County; Florida","78388","9489",
"1400000US12086000132","Census Tract 1.32; Miami-Dade County; Florida","38768","11161",
"1400000US12086000134","Census Tract 1.34; Miami-Dade County; Florida","41633","17989",
"1400000US12086000140","Census Tract 1.40; Miami-Dade County; Florida","66146","18863",
"1400000US12086000141","Census Tract 1.41; Miami-Dade County; Florida","78265","44178",
"1400000US12086000142","Census Tract 1.42; Miami-Dade County; Florida","68661","30074",
"1400000US12086000143","Census Tract 1.43; Miami-Dade County; Florida","49559","22901",
"1400000US12086000144","Census Tract 1.44; Miami-Dade County; Florida","84299","30987",
"1400000US12086000145","Census Tract 1.45; Miami-Dade County; Florida","158218","8406",
"1400000US12086000146","Census Tract 1.46; Miami-Dade County; Florida","102576","14387",
"1400000US12086000204","Census Tract 2.04; Miami-Dade County; Florida","61518","30974",
"1400000US12086000206","Census Tract 2.06; Miami-Dade County; Florida","47147","10960",
"1400000US12086000211","Census Tract 2.11; Miami-Dade County; Florida","54821","17759",
"1400000US12086000212","Census Tract 2.12; Miami-Dade County; Florida","36114","9923",
"1400000US12086000213","Census Tract 2.13; Miami-Dade County; Florida","63987","7514",
"1400000US12086000215","Census Tract 2.15; Miami-Dade County; Florida","57024","24151",
"1400000US12086000216","Census Tract 2.16; Miami-Dade County; Florida","64861","10699",
"1400000US12086000218","Census Tract 2.18; Miami-Dade County; Florida","37650","12368",
"1400000US12086000219","Census Tract 2.19; Miami-Dade County; Florida","43824","10088",
"1400000US12086000220","Census Tract 2.20; Miami-Dade County; Florida","39846","14389",
"1400000US12086000221","Census Tract 2.21; Miami-Dade County; Florida","72311","12661",
"1400000US12086000222","Census Tract 2.22; Miami-Dade County; Florida","53313","13602",
"1400000US12086000223","Census Tract 2.23; Miami-Dade County; Florida","40417","10160",
"1400000US12086000224","Census Tract 2.24; Miami-Dade County; Florida","37079","11545",
"1400000US12086000225","Census Tract 2.25; Miami-Dade County; Florida","52565","12173",
"1400000US12086000226","Census Tract 2.26; Miami-Dade County; Florida","71250","30101",
"1400000US12086000227","Census Tract 2.27; Miami-Dade County; Florida","43790","20210",
"1400000US12086000228","Census Tract 2.28; Miami-Dade County; Florida","45516","13371",
"1400000US12086000302","Census Tract 3.02; Miami-Dade County; Florida","80500","15963",
"1400000US12086000306","Census Tract 3.06; Miami-Dade County; Florida","44622","5241",
"1400000US12086000307","Census Tract 3.07; Miami-Dade County; Florida","55859","21068",
"1400000US12086000308","Census Tract 3.08; Miami-Dade County; Florida","69924","11233",
"1400000US12086000309","Census Tract 3.09; Miami-Dade County; Florida","43839","14861",
"1400000US12086000310","Census Tract 3.10; Miami-Dade County; Florida","50500","10436",
"1400000US12086000311","Census Tract 3.11; Miami-Dade County; Florida","36822","7683",
"1400000US12086000312","Census Tract 3.12; Miami-Dade County; Florida","40398","14184",
"1400000US12086000402","Census Tract 4.02; Miami-Dade County; Florida","48796","11436",
"1400000US12086000405","Census Tract 4.05; Miami-Dade County; Florida","56073","12682",
"1400000US12086000408","Census Tract 4.08; Miami-Dade County; Florida","43028","15550",
"1400000US12086000409","Census Tract 4.09; Miami-Dade County; Florida","57000","20573",
"1400000US12086000410","Census Tract 4.10; Miami-Dade County; Florida","56815","20475",
"1400000US12086000411","Census Tract 4.11; Miami-Dade County; Florida","42594","16406",
"1400000US12086000413","Census Tract 4.13; Miami-Dade County; Florida","57500","16914",
"1400000US12086000414","Census Tract 4.14; Miami-Dade County; Florida","45740","9610",
"1400000US12086000415","Census Tract 4.15; Miami-Dade County; Florida","60893","38011",
"1400000US12086000416","Census Tract 4.16; Miami-Dade County; Florida","30585","10583",
"1400000US12086000417","Census Tract 4.17; Miami-Dade County; Florida","42665","13621",
"1400000US12086000418","Census Tract 4.18; Miami-Dade County; Florida","32276","9709",
"1400000US12086000419","Census Tract 4.19; Miami-Dade County; Florida","68873","33066",
"1400000US12086000420","Census Tract 4.20; Miami-Dade County; Florida","43594","24142",
"1400000US12086000504","Census Tract 5.04; Miami-Dade County; Florida","45500","15293",
"1400000US12086000505","Census Tract 5.05; Miami-Dade County; Florida","43426","14729",
"1400000US12086000506","Census Tract 5.06; Miami-Dade County; Florida","46850","8479",
"1400000US12086000507","Census Tract 5.07; Miami-Dade County; Florida","49792","16307",
"1400000US12086000508","Census Tract 5.08; Miami-Dade County; Florida","25800","4473",
"1400000US12086000509","Census Tract 5.09; Miami-Dade County; Florida","54677","51250",
"1400000US12086000601","Census Tract 6.01; Miami-Dade County; Florida","70134","24883",
"1400000US12086000602","Census Tract 6.02; Miami-Dade County; Florida","69712","42455",
"1400000US12086000603","Census Tract 6.03; Miami-Dade County; Florida","71563","19252",
"1400000US12086000605","Census Tract 6.05; Miami-Dade County; Florida","83550","41727",
"1400000US12086000607","Census Tract 6.07; Miami-Dade County; Florida","41207","11689",
"1400000US12086000609","Census Tract 6.09; Miami-Dade County; Florida","31809","7070",
"1400000US12086000610","Census Tract 6.10; Miami-Dade County; Florida","57943","15797",
"1400000US12086000611","Census Tract 6.11; Miami-Dade County; Florida","49449","17752",
"1400000US12086000612","Census Tract 6.12; Miami-Dade County; Florida","71333","12862",
"1400000US12086000705","Census Tract 7.05; Miami-Dade County; Florida","31477","13922",
"1400000US12086000710","Census Tract 7.10; Miami-Dade County; Florida","30938","5900",
"1400000US12086000711","Census Tract 7.11; Miami-Dade County; Florida","41429","7785",
"1400000US12086000712","Census Tract 7.12; Miami-Dade County; Florida","40670","4979",
"1400000US12086000713","Census Tract 7.13; Miami-Dade County; Florida","24479","23388",
"1400000US12086000714","Census Tract 7.14; Miami-Dade County; Florida","40619","8658",
"1400000US12086000715","Census Tract 7.15; Miami-Dade County; Florida","61797","19802",
"1400000US12086000716","Census Tract 7.16; Miami-Dade County; Florida","61607","31511",
"1400000US12086000717","Census Tract 7.17; Miami-Dade County; Florida","55345","32867",
"1400000US12086000718","Census Tract 7.18; Miami-Dade County; Florida","57411","17425",
"1400000US12086000719","Census Tract 7.19; Miami-Dade County; Florida","27639","12376",
"1400000US12086000720","Census Tract 7.20; Miami-Dade County; Florida","37548","13066",
"1400000US12086000804","Census Tract 8.04; Miami-Dade County; Florida","50614","8402",
"1400000US12086000805","Census Tract 8.05; Miami-Dade County; Florida","55729","12809",
"1400000US12086000806","Census Tract 8.06; Miami-Dade County; Florida","41439","11602",
"1400000US12086000807","Census Tract 8.07; Miami-Dade County; Florida","35560","13338",
"1400000US12086000808","Census Tract 8.08; Miami-Dade County; Florida","42100","15760",
"1400000US12086000903","Census Tract 9.03; Miami-Dade County; Florida","44833","13206",
"1400000US12086000904","Census Tract 9.04; Miami-Dade County; Florida","47763","12999",
"1400000US12086000905","Census Tract 9.05; Miami-Dade County; Florida","62000","26359",
"1400000US12086000906","Census Tract 9.06; Miami-Dade County; Florida","48214","33579",
"1400000US12086000907","Census Tract 9.07; Miami-Dade County; Florida","55293","7440",
"1400000US12086000908","Census Tract 9.08; Miami-Dade County; Florida","59034","11225",
"1400000US12086001003","Census Tract 10.03; Miami-Dade County; Florida","57333","19593",
"1400000US12086001004","Census Tract 10.04; Miami-Dade County; Florida","46473","3636",
"1400000US12086001005","Census Tract 10.05; Miami-Dade County; Florida","26136","13929",
"1400000US12086001006","Census Tract 10.06; Miami-Dade County; Florida","30657","14149",
"1400000US12086001007","Census Tract 10.07; Miami-Dade County; Florida","46413","10814",
"1400000US12086001008","Census Tract 10.08; Miami-Dade County; Florida","47917","8826",
"1400000US12086001101","Census Tract 11.01; Miami-Dade County; Florida","60679","13318",
