"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"0400000US12","Florida","21634529","*****","15896246","*****","11242515","6924","3232871","9562","26405","1270","596828","3662","10933","802","117096","5413","669598","10605","169086","6652","500512","10138","5738283","*****","2564895","20823","122837","5015","32792","3120","13162","1274","2267","750","928461","15303","2073869","21588","1920606","21672","153263","6388",
"1400000US12086000107","Census Tract 1.07; Miami-Dade County; Florida","3013","610","1610","512","1399","512","42","59","0","15","69","67","0","15","0","15","100","98","53","48","47","71","1403","420","886","343","0","15","0","15","0","15","0","15","191","200","326","306","326","306","0","15",
"1400000US12086000109","Census Tract 1.09; Miami-Dade County; Florida","3187","643","1215","379","845","350","191","129","0","15","56","79","0","15","0","15","123","99","16","28","107","98","1972","636","721","355","0","15","0","15","0","15","0","15","379","263","872","457","872","457","0","15",
"1400000US12086000115","Census Tract 1.15; Miami-Dade County; Florida","1788","317","1082","243","968","228","36","41","0","15","4","5","0","15","0","15","74","97","72","96","2","4","706","170","573","168","0","15","0","15","0","15","0","15","17","21","116","88","103","74","13","19",
"1400000US12086000118","Census Tract 1.18; Miami-Dade County; Florida","1208","298","831","190","755","172","20","31","0","15","14","21","0","15","0","15","42","61","37","61","5","10","377","213","122","80","0","15","6","10","0","15","0","15","7","11","242","201","242","201","0","15",
"1400000US12086000120","Census Tract 1.20; Miami-Dade County; Florida","4175","507","1902","394","1466","252","228","191","0","15","85","56","0","15","16","26","107","81","31","33","76","71","2273","446","1314","380","11","17","0","15","30","46","0","15","256","135","662","323","645","325","17","24",
"1400000US12086000121","Census Tract 1.21; Miami-Dade County; Florida","1787","289","1179","245","901","234","83","98","0","15","158","112","0","15","0","15","37","36","6","11","31","36","608","202","238","120","0","15","0","15","0","15","0","15","13","19","357","183","357","183","0","15",
"1400000US12086000122","Census Tract 1.22; Miami-Dade County; Florida","3883","618","1873","375","1742","354","46","56","0","15","68","68","0","15","0","15","17","29","17","29","0","15","2010","542","1208","488","0","15","0","15","0","15","0","15","160","236","642","352","612","356","30","86",
"1400000US12086000123","Census Tract 1.23; Miami-Dade County; Florida","4099","643","2328","449","2261","439","0","15","0","15","0","15","0","15","0","15","67","87","0","15","67","87","1771","508","656","295","58","90","0","15","12","19","0","15","19","29","1026","430","902","415","124","153",
"1400000US12086000124","Census Tract 1.24; Miami-Dade County; Florida","3515","463","2048","389","482","157","1447","382","0","15","14","20","0","15","23","33","82","64","55","45","27","34","1467","396","845","355","0","15","0","15","0","15","0","15","228","110","394","150","394","150","0","15",
"1400000US12086000125","Census Tract 1.25; Miami-Dade County; Florida","4314","813","2303","707","2132","706","34","54","0","15","48","41","0","15","0","15","89","93","78","93","11","18","2011","596","1164","587","0","15","0","15","0","15","0","15","21","25","826","350","804","345","22","36",
"1400000US12086000126","Census Tract 1.26; Miami-Dade County; Florida","1978","380","1046","283","942","279","5","28","0","15","19","30","0","15","0","15","80","73","51","58","29","44","932","303","658","258","0","15","0","15","42","66","0","15","0","15","232","170","232","170","0","15",
"1400000US12086000127","Census Tract 1.27; Miami-Dade County; Florida","2547","546","1376","417","1177","358","106","129","0","15","19","21","0","15","11","17","63","58","18","20","45","54","1171","351","497","205","0","15","9","14","0","15","0","15","82","91","583","233","545","235","38","51",
"1400000US12086000128","Census Tract 1.28; Miami-Dade County; Florida","3887","805","1626","484","873","286","650","461","0","15","82","83","0","15","0","15","21","24","21","24","0","15","2261","853","1501","585","55","93","0","15","0","15","0","15","32","40","673","432","451","299","222","295",
"1400000US12086000129","Census Tract 1.29; Miami-Dade County; Florida","2190","327","1586","333","1362","297","0","15","0","15","54","52","0","15","170","185","0","15","0","15","0","15","604","247","130","69","0","15","0","15","0","15","0","15","125","126","349","175","325","177","24","38",
"1400000US12086000130","Census Tract 1.30; Miami-Dade County; Florida","2698","506","1510","324","1429","297","31","34","0","15","0","15","0","15","0","15","50","59","8","13","42","56","1188","476","771","412","0","15","0","15","0","15","0","15","12","18","405","262","405","262","0","15",
